КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
GF30954,1.070305e-06,499.0,0.1000000014901161,0,0.0199999995529651,0,0.1500000059604644,0,,0,,0,,0,0.0
GF18435,0.010593937,899.0,0.1650000065565109,0,0.050000000745058,0,0.1650000065565109,0,,0,,0,,0,0.0
GF18435,0.0031151078,850.0,0.1299999952316284,0,0.0680000036954879,0,0.1369999945163726,0,,0,,0,,0,0.0
GF19429,0.0018704587,,0.3300000131130218,0,0.1599999964237213,0,0.1700000017881393,0,,0,,0,,0,0.0
MA10245,1.1347826e-06,2450.0,0.1550000011920929,0,0.209999993443489,0,0.0750000029802322,0,,0,,0,,0,0.0
GF30126,1.0670701e-06,3499.0,0.1800000071525573,0,0.1099999994039535,0,0.025000000372529,0,,0,,0,,0,0.0
GF18392,1.0506865e-06,100299.0,0.800000011920929,0,0.5799999833106995,0,0.2000000029802322,0,,0,,0,,0,0.0
GF30126,1.0670701e-06,4499.0,0.449999988079071,0,0.1299999952316284,0,0.0350000001490116,0,,0,,0,,0,0.0
GF30129,0.0035464338,250.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
MA00325,0.0068112765,999.0,0.4000000059604645,0,0.2199999988079071,0,0.0900000035762786,0,,0,,0,,0,0.0
GF18375,0.007992949,95.0,0.1199999973177909,0,0.0900000035762786,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,1.0426945e-06,250.0,0.0900000035762786,0,0.0450000017881393,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,0.0098087685,110.0,0.1199999973177909,0,0.0850000008940696,0,0.0099999997764825,0,,0,,0,,0,0.0
GF18375,0.028397337,299.0,0.0900000035762786,0,0.0430000014603138,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,0.013056068,299.0,0.0900000035762786,0,0.0430000014603138,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,1.0426945e-06,250.0,0.1800000071525573,0,0.0599999986588954,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,1.0426945e-06,299.0,0.1840000003576278,0,0.0549999997019767,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,0.011260462,299.0,0.1850000023841858,0,0.0599999986588954,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,1.0426945e-06,299.0,0.1850000023841858,0,0.0900000035762786,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,0.009696801,750.0,0.0939999967813491,0,0.0630000010132789,0,0.0430000014603138,0,,0,,0,,0,0.0
GF18375,0.010770911,550.0,0.2179999947547912,0,0.0529999993741512,0,0.0149999996647238,0,0.0,0,,0,0.0,0,0.0
GF18375,1.0426945e-06,150.0,0.0900000035762786,0,0.0450000017881393,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,1.0426945e-06,350.0,0.1199999973177909,0,0.0850000008940696,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,0.021643935,199.0,0.0900000035762786,0,0.0450000017881393,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,1.0426945e-06,550.0,0.1199999973177909,0,0.0850000008940696,0,0.006000000052154,0,,0,,0,,0,0.0
GF18375,0.014492411,199.0,0.0900000035762786,0,0.0450000017881393,0,0.0049999998882412,0,,0,,0,,0,0.0
GF18375,0.19250467,399.0,0.1199999973177909,0,0.0850000008940696,0,0.0049999998882412,0,,0,,0,,0,0.0
GF23627,1.01867e-06,150.0,0.1049999967217445,0,0.0900000035762786,0,0.0199999995529651,0,,0,,0,,0,0.0
GF19422,0.0034928313,7299.0,0.4199999868869781,0,0.4300000071525574,0,0.3000000119209289,0,,0,,0,,0,0.0
GF19422,1.0481638e-06,7299.0,0.4199999868869781,0,0.4300000071525574,0,0.3000000119209289,0,,0,,0,,0,0.0
GF19422,0.0034928313,8399.0,7.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF19422,0.0034928313,8399.0,0.4199999868869781,0,0.4300000071525574,0,0.3600000143051147,0,,0,,0,,0,0.0
GF19422,0.012577965,9499.0,0.4900000095367431,0,0.4900000095367431,0,0.4000000059604645,0,,0,,0,,0,0.0
GF20757,0.006216109,,0.1500000059604644,0,0.050000000745058,0,0.1800000071525573,0,,0,,0,,0,0.0
GF26855,3.125e-06,4799.0,0.3000000119209289,0,0.2399999946355819,0,0.4000000059604645,0,,0,,0,,0,0.0
GF26855,3.125e-06,16299.0,0.4699999988079071,0,0.5799999833106995,0,0.4399999976158142,0,,0,,0,,0,0.0
GF26855,3.125e-06,25399.0,0.4799999892711639,0,0.4399999976158142,0,0.5699999928474426,0,,0,,0,,0,0.0
GF26855,3.125e-06,7699.0,0.3799999952316284,0,0.3799999952316284,0,0.4300000071525574,0,,0,,0,,0,0.0
GF26855,3.125e-06,16899.0,0.6200000047683716,0,0.4099999964237213,0,0.4300000071525574,0,,0,,0,,0,0.0
GF18412,1.3591036e-06,88999.0,,0,,0,,0,,0,,0,,0,0.0
FE38031,0.0035764454,65999.0,0.0900000035762786,0,0.0299999993294477,0,0.1650000065565109,0,,0,,0,,0,0.0
MA00330,0.006865195,2699.0,0.2010000050067901,0,0.2010000050067901,0,0.2300000041723251,0,,0,,0,,0,0.0
GF30954,1.070305e-06,299.0,0.1599999964237213,0,0.050000000745058,0,0.0099999997764825,0,,0,,0,,0,0.0
MA10192,0.009416632,2099.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF18259,0.0055796294,850.0,0.2399999946355819,0,0.1599999964237213,0,0.0199999995529651,0,,0,,0,,0,0.0
GF18248,1.1046195e-06,1999.0,0.1099999994039535,0,0.0799999982118606,0,0.050000000745058,0,,0,,0,,0,0.0
GF18430,1.2175229e-06,8999.0,0.2300000041723251,0,0.1000000014901161,0,0.1000000014901161,0,,0,,0,,0,0.0
